0,1,2,3,4
41.0,203.0,69.0,235.0,14.0
122.0,24.0,1.0,236.0,85.0
27.0,33.0,81.0,103.0,235.0
887.0,106.0,8.0,81.0,35.0
164.0,76.0,517.0,202.0,111.0
122.0,91.0,103.0,523.0,117.0
98.0,131.0,157.0,222.0,555.0
41.0,84.0,104.0,145.0,36.0
24.0,245.0,5.0,429.0,235.0
50.0,56.0,7.0,81.0,89.0
2.0,104.0,163.0,360.0,526.0
43.0,234.0,112.0,236.0,85.0
39.0,33.0,26.0,81.0,235.0
876.0,154.0,55.0,51.0,223.0
516.0,234.0,157.0,360.0,99.0
82.0,131.0,246.0,21.0,22.0
58.0,56.0,112.0,81.0,142.0
5.0,76.0,69.0,236.0,267.0
107.0,421.0,518.0,81.0,29.0
516.0,131.0,39.0,15.0,235.0
30.0,238.0,107.0,18.0,99.0
84.0,91.0,34.0,236.0,147.0
105.0,163.0,157.0,81.0,25.0
114.0,91.0,4.0,523.0,43.0
107.0,104.0,711.0,202.0,497.0
875.0,20.0,711.0,202.0,53.0
107.0,62.0,126.0,115.0,101.0
20.0,19.0,91.0,21.0,99.0
41.0,104.0,711.0,81.0,235.0
24.0,245.0,8.0,81.0,55.0
114.0,876.0,238.0,221.0,53.0
114.0,131.0,238.0,51.0,78.0
2.0,203.0,69.0,81.0,64.0
41.0,106.0,61.0,223.0,55.0
266.0,30.0,58.0,67.0,117.0
126.0,23.0,4.0,145.0,117.0
223.0,91.0,163.0,29.0,99.0
164.0,91.0,55.0,523.0,79.0
98.0,64.0,103.0,110.0,161.0
67.0,876.0,238.0,81.0,412.0
8.0,254.0,80.0,202.0,50.0
98.0,163.0,101.0,18.0,267.0
82.0,64.0,39.0,498.0,161.0
887.0,234.0,103.0,360.0,89.0
36.0,163.0,1.0,523.0,412.0
83.0,121.0,517.0,236.0,235.0
126.0,876.0,84.0,22.0,25.0
86.0,64.0,13.0,67.0,53.0
19.0,91.0,711.0,498.0,63.0
113.0,62.0,112.0,236.0,35.0
98.0,234.0,103.0,202.0,101.0
164.0,234.0,157.0,81.0,101.0
114.0,245.0,103.0,518.0,145.0
50.0,20.0,39.0,202.0,101.0
75.0,91.0,69.0,81.0,89.0
79.0,30.0,157.0,360.0,875.0
887.0,234.0,142.0,81.0,80.0
43.0,203.0,268.0,236.0,267.0
104.0,131.0,91.0,15.0,101.0
62.0,104.0,112.0,81.0,25.0
78.0,141.0,61.0,222.0,111.0
420.0,234.0,711.0,81.0,16.0
107.0,20.0,142.0,145.0,143.0
122.0,131.0,157.0,202.0,4.0
75.0,106.0,238.0,145.0,235.0
43.0,5.0,3.0,145.0,875.0
104.0,24.0,517.0,81.0,101.0
164.0,104.0,54.0,81.0,201.0
2.0,30.0,238.0,96.0,161.0
223.0,131.0,157.0,222.0,555.0
150.0,35.0,84.0,81.0,89.0
31.0,104.0,238.0,360.0,12.0
41.0,19.0,45.0,81.0,99.0
67.0,254.0,711.0,115.0,25.0
875.0,131.0,4.0,145.0,16.0
777.0,30.0,45.0,15.0,89.0
10.0,11.0,145.0,21.0,412.0
67.0,56.0,517.0,498.0,111.0
41.0,121.0,142.0,51.0,25.0
67.0,48.0,34.0,81.0,235.0
82.0,421.0,55.0,360.0,50.0
58.0,62.0,7.0,360.0,89.0
223.0,91.0,25.0,119.0,40.0
114.0,35.0,55.0,360.0,223.0
78.0,76.0,127.0,429.0,80.0
114.0,9.0,105.0,360.0,412.0
887.0,62.0,157.0,202.0,888.0
41.0,64.0,117.0,22.0,223.0
106.0,141.0,103.0,18.0,63.0
2.0,53.0,55.0,360.0,35.0
78.0,104.0,84.0,145.0,555.0
86.0,64.0,91.0,236.0,267.0
23.0,56.0,103.0,202.0,101.0
75.0,28.0,131.0,81.0,99.0
80.0,9.0,39.0,51.0,10.0
157.0,106.0,103.0,81.0,235.0
58.0,104.0,39.0,360.0,57.0
