,matchID,championID,position,win,kda
0,KR_6007289435,268,TOP,False,0.16666666666666666
1,KR_6007289435,254,JUNGLE,False,0.6
2,KR_6007289435,517,MIDDLE,False,1.4
3,KR_6007289435,221,BOTTOM,False,0.75
4,KR_6007289435,497,UTILITY,False,0.2
5,KR_6007289435,150,TOP,True,10.0
6,KR_6007289435,200,JUNGLE,True,3.5
7,KR_6007289435,42,MIDDLE,True,6.5
8,KR_6007289435,119,BOTTOM,True,13.0
9,KR_6007289435,22,UTILITY,True,7.5
10,KR_6007258650,150,TOP,True,14.0
11,KR_6007258650,200,JUNGLE,True,15.0
12,KR_6007258650,268,MIDDLE,True,4.0
13,KR_6007258650,119,BOTTOM,True,4.0
14,KR_6007258650,43,UTILITY,True,5.0
15,KR_6007258650,39,TOP,False,0.3333333333333333
16,KR_6007258650,33,JUNGLE,False,1.25
17,KR_6007258650,103,MIDDLE,False,0.5
18,KR_6007258650,221,BOTTOM,False,2.5
19,KR_6007258650,350,UTILITY,False,2.5
20,KR_6007314439,150,TOP,False,0.2857142857142857
21,KR_6007314439,68,JUNGLE,False,2.0
22,KR_6007314439,777,MIDDLE,False,0.5
23,KR_6007314439,147,BOTTOM,False,1.0
24,KR_6007314439,22,UTILITY,False,1.0
25,KR_6007314439,113,TOP,True,4.0
26,KR_6007314439,200,JUNGLE,True,15.0
27,KR_6007314439,163,MIDDLE,True,3.5
28,KR_6007314439,221,BOTTOM,True,8.0
29,KR_6007314439,350,UTILITY,True,6.0
30,KR_6007302795,102,TOP,False,0.625
31,KR_6007302795,107,JUNGLE,False,1.75
32,KR_6007302795,84,MIDDLE,False,0.375
33,KR_6007302795,81,BOTTOM,False,0.3333333333333333
34,KR_6007302795,22,UTILITY,False,0.7142857142857143
35,KR_6007302795,39,TOP,True,9.0
36,KR_6007302795,234,JUNGLE,True,15.0
37,KR_6007302795,268,MIDDLE,True,3.6666666666666665
38,KR_6007302795,429,BOTTOM,True,7.0
39,KR_6007302795,888,UTILITY,True,7.333333333333333
40,KR_6006390645,24,TOP,False,1.0
41,KR_6006390645,200,JUNGLE,False,1.1666666666666667
42,KR_6006390645,517,MIDDLE,False,1.25
43,KR_6006390645,523,BOTTOM,False,0.2
44,KR_6006390645,412,UTILITY,False,0.8333333333333334
45,KR_6006390645,114,TOP,True,15.0
46,KR_6006390645,9,JUNGLE,True,14.0
47,KR_6006390645,777,MIDDLE,True,2.25
48,KR_6006390645,221,BOTTOM,True,6.0
49,KR_6006390645,111,UTILITY,True,14.0
50,KR_6006246158,150,TOP,False,1.125
51,KR_6006246158,64,JUNGLE,False,2.111111111111111
52,KR_6006246158,103,MIDDLE,False,3.5
53,KR_6006246158,81,BOTTOM,False,3.0
54,KR_6006246158,497,UTILITY,False,2.142857142857143
55,KR_6006246158,166,TOP,True,2.8
56,KR_6006246158,200,JUNGLE,True,8.5
57,KR_6006246158,517,MIDDLE,True,3.0
58,KR_6006246158,51,BOTTOM,True,2.6666666666666665
59,KR_6006246158,412,UTILITY,True,3.2
60,KR_6005872129,150,TOP,True,4.0
61,KR_6005872129,9,JUNGLE,True,21.0
62,KR_6005872129,555,MIDDLE,True,3.0
63,KR_6005872129,429,BOTTOM,True,11.0
64,KR_6005872129,111,UTILITY,True,5.666666666666667
65,KR_6005872129,119,TOP,False,0.6
66,KR_6005872129,131,JUNGLE,False,1.1666666666666667
67,KR_6005872129,86,MIDDLE,False,0.75
68,KR_6005872129,235,UTILITY,False,1.0
69,KR_6005872129,147,BOTTOM,False,1.0
70,KR_6005809925,107,TOP,False,4.5
71,KR_6005809925,104,JUNGLE,False,2.5
72,KR_6005809925,20,MIDDLE,False,6.25
73,KR_6005809925,119,BOTTOM,False,2.111111111111111
74,KR_6005809925,111,UTILITY,False,2.1
75,KR_6005809925,150,TOP,True,0.875
76,KR_6005809925,200,JUNGLE,True,3.3333333333333335
77,KR_6005809925,147,MIDDLE,True,4.333333333333333
78,KR_6005809925,81,BOTTOM,True,3.2222222222222223
79,KR_6005809925,201,UTILITY,True,3.2222222222222223
80,KR_6005798999,150,TOP,True,1.8333333333333333
81,KR_6005798999,33,JUNGLE,True,6.5
82,KR_6005798999,268,MIDDLE,True,12.0
83,KR_6005798999,429,BOTTOM,True,4.333333333333333
84,KR_6005798999,888,UTILITY,True,13.0
85,KR_6005798999,39,TOP,False,0.75
86,KR_6005798999,200,JUNGLE,False,1.1666666666666667
87,KR_6005798999,103,MIDDLE,False,1.2
88,KR_6005798999,221,BOTTOM,False,0.8571428571428571
89,KR_6005798999,350,UTILITY,False,2.0
90,KR_6005777917,39,TOP,True,11.0
91,KR_6005777917,76,JUNGLE,True,12.0
92,KR_6005777917,42,MIDDLE,True,7.0
93,KR_6005777917,498,BOTTOM,True,2.0
94,KR_6005777917,497,UTILITY,True,6.0
95,KR_6005777917,150,TOP,False,0.14285714285714285
96,KR_6005777917,131,JUNGLE,False,0.2857142857142857
97,KR_6005777917,200,MIDDLE,False,0.2
98,KR_6005777917,81,BOTTOM,False,0.5
99,KR_6005777917,350,UTILITY,False,1.0
100,KR_6004462133,114,TOP,True,10.0
101,KR_6004462133,62,JUNGLE,True,8.0
102,KR_6004462133,517,MIDDLE,True,2.2
103,KR_6004462133,81,BOTTOM,True,7.0
104,KR_6004462133,43,UTILITY,True,4.0
105,KR_6004462133,85,TOP,False,0.5555555555555556
106,KR_6004462133,111,UTILITY,False,0.8333333333333334
107,KR_6004462133,141,JUNGLE,False,2.0
108,KR_6004462133,119,BOTTOM,False,1.6
109,KR_6004462133,142,MIDDLE,False,2.5
110,KR_6004644630,777,TOP,True,2.0
111,KR_6004644630,131,JUNGLE,True,6.0
112,KR_6004644630,39,MIDDLE,True,11.0
113,KR_6004644630,235,UTILITY,True,4.0
114,KR_6004644630,223,BOTTOM,True,6.5
115,KR_6004644630,150,TOP,False,0.0
116,KR_6004644630,64,JUNGLE,False,1.0
117,KR_6004644630,268,MIDDLE,False,0.16666666666666666
118,KR_6004644630,221,BOTTOM,False,1.2
119,KR_6004644630,350,UTILITY,False,1.25
120,KR_6004420718,114,TOP,False,1.0
121,KR_6004420718,200,JUNGLE,False,2.0
122,KR_6004420718,101,MIDDLE,False,2.0
123,KR_6004420718,429,BOTTOM,False,1.125
124,KR_6004420718,555,UTILITY,False,1.5
125,KR_6004420718,102,TOP,True,4.5
126,KR_6004420718,234,JUNGLE,True,12.0
127,KR_6004420718,268,MIDDLE,True,1.4
128,KR_6004420718,523,BOTTOM,True,4.0
129,KR_6004420718,111,UTILITY,True,8.5
130,KR_6004423969,102,TOP,True,7.0
131,KR_6004423969,64,JUNGLE,True,10.5
132,KR_6004423969,127,MIDDLE,True,12.0
133,KR_6004423969,523,BOTTOM,True,1.3333333333333333
134,KR_6004423969,22,UTILITY,True,4.5
135,KR_6004423969,114,TOP,False,0.2
136,KR_6004423969,91,JUNGLE,False,0.75
137,KR_6004423969,142,MIDDLE,False,0.4
138,KR_6004423969,31,BOTTOM,False,0.5
139,KR_6004423969,111,UTILITY,False,1.0
140,KR_6004461151,150,TOP,True,3.3333333333333335
141,KR_6004461151,163,JUNGLE,True,6.75
142,KR_6004461151,7,MIDDLE,True,3.6666666666666665
143,KR_6004461151,523,BOTTOM,True,5.5
144,KR_6004461151,53,UTILITY,True,6.25
145,KR_6004461151,777,TOP,False,1.0
146,KR_6004461151,121,JUNGLE,False,0.3333333333333333
147,KR_6004461151,3,MIDDLE,False,3.6666666666666665
148,KR_6004461151,145,BOTTOM,False,1.0
149,KR_6004461151,875,UTILITY,False,0.8461538461538461
150,KR_5983906080,266,TOP,True,5.0
151,KR_5983906080,64,JUNGLE,True,21.0
152,KR_5983906080,26,MIDDLE,True,8.5
153,KR_5983906080,360,BOTTOM,True,3.0
154,KR_5983906080,43,UTILITY,True,4.666666666666667
155,KR_5983906080,84,TOP,False,0.7142857142857143
156,KR_5983906080,246,MIDDLE,False,0.75
157,KR_5983906080,62,JUNGLE,False,1.2857142857142858
158,KR_5983906080,81,BOTTOM,False,1.5
159,KR_5983906080,16,UTILITY,False,3.0
160,KR_5983856805,157,TOP,False,1.6666666666666667
161,KR_5983856805,62,JUNGLE,False,2.0
162,KR_5983856805,84,MIDDLE,False,1.1818181818181819
163,KR_5983856805,81,BOTTOM,False,2.0
164,KR_5983856805,201,UTILITY,False,1.0
165,KR_5983856805,523,TOP,True,3.25
166,KR_5983856805,203,JUNGLE,True,3.8333333333333335
167,KR_5983856805,517,MIDDLE,True,1.75
168,KR_5983856805,235,UTILITY,True,7.0
169,KR_5983856805,147,BOTTOM,True,7.666666666666667
170,KR_6005493798,114,TOP,True,6.0
171,KR_6005493798,234,JUNGLE,True,5.5
172,KR_6005493798,7,MIDDLE,True,2.5
173,KR_6005493798,29,BOTTOM,True,9.0
174,KR_6005493798,888,UTILITY,True,11.0
175,KR_6005493798,887,TOP,False,0.25
176,KR_6005493798,64,JUNGLE,False,1.3333333333333333
177,KR_6005493798,246,MIDDLE,False,2.0
178,KR_6005493798,429,BOTTOM,False,0.0
